Layer_Index,Input_Feature_Map,Output_Feature_Map,Weight,Computation
1,139310791.145617,250450445.959721,58428966.2090271,37273139.6465271
2,44483337.6123729,75678629.49495,7098126.41414167,3433238.41414167
3,229119975.353285,349904735.644075,162641585.822038,64738881.8220375
4,44653047.6707896,27459766.6831583,11080164.1749125,3824477.6749125
5,28725273.7653,3429918.796875,1364546.73177083,637517.731770833
6,32143874.0611979,15857709.5208333,7387786.92708333,2550070.92708333
7,57155332.2415437,65788410.0083958,30426129.3375312,12302676.0041979
8,6349331.78160833,11023584.7469083,6084402.04012083,3185811.04012083
9,36421301.5429688,8699799.171875,2314069.91927083,1483563.41927083
10,46582142.7293292,86501572.2506458,17176891.1253229,4252298.12532292
11,29273028.2377271,22821994.6175708,1938989.80878542,1063271.14211875
12,46582142.7293292,87212822.2506458,17176891.1253229,4252298.12532292
13,78963360.294375,201308659.336667,55373933.6683333,19126435.335
14,38132166.6377542,75682784.1805,39151314.7569167,21760182.7569167
15,49414958.0594312,46668598.237725,9820476.6188625,3358180.1188625
16,21329026.7311208,10730595.171875,6924043.00260417,2036536.75260417
17,15523817.2835292,1587779.50520833,793882.877604167,339489.752604167
18,26520673.8548167,28543745.8350708,13847708.3342021,4072939.58420208
19,17132046.1977771,16786066.3192,22900898.9929333,3840916.49293333
20,2314701.23981458,4521644.68518333,2465633.34259167,1315391.84259167
21,27272347.8420146,11398869.3680542,3184238.18402708,1847245.68402708
22,18429520.2777771,64857799.4444458,4785995.05555625,1391559.55555625
23,10890301.3515625,3512309.23958333,639979.203125,297284.203125
24,31508157.6062375,16886949.0916167,10680758.712475,1987921.212475
25,26731385.0401479,19626991.46745,14257137.0670583,4430429.06705834
26,4675591.92813698,7156633.97037917,3897540.48518958,2207085.15185625
27,24369829.9392875,8251142.6738125,3239329.77440625,1643663.00357292
28,19199134.3092104,12654643.2368417,8480691.86842083,1526470.61842083
29,10534812.077475,3343758.39322917,627980.86328125,285285.86328125
30,19199134.3092104,13692226.570175,8480691.86842083,1526470.61842083
31,26919624.4511917,38869915.96765,17670477.483825,4835576.983825
32,3776137.34792187,5843254.10356667,3366704.71845,1676249.38511667
33,23599529.0620938,8189172.498375,3172928.02002083,1577261.2491875
34,18678471.5109854,30868046.8772792,9502811.85530625,1682850.60530625
35,10211122.0342354,7169278.31351667,1088914.073425,375311.323425
36,17681075.2546292,64957540.1851833,4707990.425925,1313554.925925
37,24743855.4046583,34830575.693575,28172480.5134542,6092996.51345417
38,4778065.71758281,7806496.3689875,5344832.85116042,2277504.35116042
39,23203170.54195,8085505.08447083,3138760.97973542,1543094.20890208
40,18654896.9350146,13992077.4933708,10618178.3300187,1657872.08001875
41,23793532.2418708,4586849.69570833,1737312.1811875,1001958.1811875
42,38756324.770675,20797609.7493667,15954071.79135,2652571.54135
43,34837750.2007375,94177781.0351542,26094623.8509104,6040548.85091041
44,11354261.0758232,19670907.9423875,10234669.9711938,5726765.30452708
45,23921701.9569333,13776411.2825125,9957764.39125625,2789568.14125625
46,6463743.32254167,22330498.8649083,2335733.02620417,492904.432454166
47,3217191.94324583,3937227.10631667,323729.745866667,98580.8864916667
48,11586349.4864104,35217771.278975,4502255.55615417,788691.972820833
49,10464229.5090667,13895278.1442917,7929561.46797917,1555872.40547917
50,2800709.14898021,3730101.08247083,2595979.49956875,1146709.87456875
51,15916800.2086333,16399171.8345333,2489172.29226667,1014909.41726667
52,8281883.6009625,9560096.40384583,3243470.99358958,460487.201922917
53,2670523.62620208,2404166.16987083,667525.49639375,115126.16826875
54,15857015.2019229,31056236.4743583,5340058.09134583,920974.403845834
55,13584912.0181479,12905016.5873208,10554983.7624104,2271387.46032708
56,1537773.76024687,2904672.25958333,2495166.62979167,321275.129791667
57,12675310.6255,16136537.502,2225188.45933333,750925.584333334
58,2309381.13524792,5236720.64099167,5480336.55487083,324152.320495833
