Layer_Index,Input_Feature_Map,Output_Feature_Map,Weight,Computation
1,104705372.763938,176817122.949108,11287629.7037208,1356478.14122083
2,40674951.10385,67687188.9040417,1477606.1186875,123768.118687501
3,172630397.927958,223219583.631192,37716243.1489292,2229639.14892916
4,41583226.1601562,20118480.640625,2188300.3203125,134251.3203125
5,27206336.5675458,2189967.10677083,273116.720052083,22375.2200520833
6,28996375.2701833,10831027.7604167,1458866.88020833,89500.8802083333
7,47583272.0904167,41963733.8433333,8172149.58833333,451379.588333329
8,5848606.75182292,10125741.6862,5281558.8431,2686222.8431
9,35062936.0082458,5906728.69965417,449970.099827083,53007.3498270834
10,44457366.3678937,78406783.471575,3831330.06912083,154487.069120834
11,28697093.2417646,20692046.3003875,529213.566860416,38817.8168604163
12,44457366.3678937,78815116.8049083,3831330.06912083,154487.069120834
13,62676920.3996708,163938593.097317,16143108.8819917,704527.215324998
14,34225599.1001729,68080787.3072917,33568705.6536458,17997517.6536458
15,47445471.7157625,40150486.1963833,1959628.931525,121207.431524999
16,19138189.0859375,6794983.6736125,1386241.42013958,70647.6701395835
17,14606590.9388021,939412.145833333,168655.447916667,11881.0729166667
18,22819994.8385417,20620874.0138875,2772482.84027708,141295.340277083
19,14117195.769875,9270256.80002083,5268723.40001042,139053.400010417
20,2149631.01679922,4150990.75732917,2165609.21199792,1132960.71199792
21,25910516.6796875,7830738.05208333,609024.609375,65763.359375
22,17451616.1143604,62214053.6241083,1221481.5203875,49436.6453875005
23,10535910.7841792,2929611.55338333,194515.776691667,10583.2766916668
24,30003492.3893771,13052521.5575042,2413753.27875208,70603.2787520836
25,23606348.3219396,11128648.7298167,4157965.69824167,165007.698241666
26,4310996.45500755,6473453.05735417,3378784.36201042,1845119.69534375
27,23137494.6241479,5053409.7465875,690801.852460417,58442.37329375
28,18545712.784275,9718048.80376667,1930373.81855,55902.5685500006
29,10450768.4257812,2804140.03645833,194409.184895833,10476.6848958333
30,18545712.784275,10710632.1371,1930373.81855,55902.5685500006
31,23180780.1450438,29628785.7946167,5391745.73064166,176470.230641663
32,3596540.47974974,5391082.46845,2988203.234225,1454538.56755833
33,22775176.0000396,5157701.91682917,689614.604247916,57255.1250812498
34,17928798.937825,27678727.4179667,2166522.95898333,61524.2089833344
35,9980637.00925833,6442351.58024583,304034.040122917,13743.7901229169
36,17109141.358025,62460817.0987667,1220113.25771667,48068.3827166657
37,19709663.4107083,23128658.3034417,7842011.40172083,227871.151720832
38,4424897.89024036,7089896.47839583,4675865.23919792,1922100.23919792
39,22489520.4810354,5165204.84080417,688678.566235417,56319.0870687502
40,17670372.1107958,10851119.6287875,2473313.98106042,61351.4810604155
41,22942355.9090917,2668657.3636375,335263.93181875,36466.1818187498
42,37919814.5972229,15721135.7222208,3864257.69444375,98501.1944437524
43,30547926.9459354,82551071.5600583,8375081.61336249,226569.113362491
44,10655693.3811521,18134531.4296875,9032319.71484375,4942535.38151042
45,21615781.7589167,8419728.21085834,2031595.77209583,101830.772095834
46,6069151.93825,21395957.8257375,686924.746202084,18092.2462020839
47,3186991.97462083,3749081.39847917,111367.699239583,3618.44923958338
48,11258057.0663479,33706809.9320542,1237451.96602708,28857.1326937502
49,9413652.37204088,10912144.1692375,2367930.67836875,58159.5846187522
50,2649887.37990026,3411528.60555417,2278735.28194375,981131.96944375
51,15340267.2472021,14449063.3221417,571518.556904167,36563.4944041669
52,8182229.99519167,8684606.98077083,921622.115385417,17179.9903854169
53,2633560.34615417,2184609.923075,204508.9615375,4308.46153749991
54,15643352.8701917,29364812.1474375,1635998.27163542,34449.7403854157
55,11728105.2731354,8618669.811825,3490722.4840375,83984.9059124986
56,1509189.40272109,2841425.29304583,2227883.47985625,281484.97985625
57,12430897.3882896,14697467.8864917,562554.1724125,27599.1099124998
58,2155213.40337292,4610351.91349167,1029368.98799583,10967.9567458333
